indicateur,domaine_activite,Unit,Date,Value,annee,valeur
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Commerce,Nombre,2018,6221,2018,6221
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Commerce,Nombre,2019,6362,2019,6362
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Commerce,Nombre,2020,7676,2020,7676
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Commerce,Nombre,2021,8043,2021,8043
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Commerce,Nombre,2022,8118,2022,8118
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Commerce,Nombre,2023,10356,2023,10356
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Industrie,Nombre,2018,662,2018,662
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Industrie,Nombre,2019,279,2019,279
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Industrie,Nombre,2020,310,2020,310
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Industrie,Nombre,2021,276,2021,276
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Industrie,Nombre,2022,498,2022,498
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Industrie,Nombre,2023,843,2023,843
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Service,Nombre,2018,5257,2018,5257
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Service,Nombre,2019,5427,2019,5427
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Service,Nombre,2020,6634,2020,6634
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Service,Nombre,2021,7569,2021,7569
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Service,Nombre,2022,8317,2022,8317
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Service,Nombre,2023,10107,2023,10107
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Artisanat,Nombre,2018,371,2018,371
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Artisanat,Nombre,2019,1069,2019,1069
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Artisanat,Nombre,2020,1023,2020,1023
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Artisanat,Nombre,2021,1002,2021,1002
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Artisanat,Nombre,2022,612,2022,612
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Artisanat,Nombre,2023,481,2023,481
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Ensemble,Nombre,2018,12511,2018,12511
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Ensemble,Nombre,2019,13137,2019,13137
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Ensemble,Nombre,2020,15643,2020,15643
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Ensemble,Nombre,2021,16890,2021,16890
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Ensemble,Nombre,2022,17545,2022,17545
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Ensemble,Nombre,2023,21787,2023,21787
