"indicateur","statut-juridique","Unit","Date","Value"
"Répartition des entreprises par statut juridique","Entreprise individuelle (EI)","Nombre","2016","4666"
"Répartition des entreprises par statut juridique","Société à responsabilité limitée (SARL)","Nombre","2016","5062"
"Répartition des entreprises par statut juridique","Société anonyme (SA)","Nombre","2016","614"
"Répartition des entreprises par statut juridique","Société en participation (SP)","Nombre","2016","5"
"Répartition des entreprises par statut juridique","Société de fait","Nombre","2016","19"
"Répartition des entreprises par statut juridique","Société coopérative simplifiée","Nombre","2016","313"
"Répartition des entreprises par statut juridique","Société coopérative avec Conseil d'Administration","Nombre","2016","8"
"Répartition des entreprises par statut juridique","Autres","Nombre","2016","249"
"Répartition des entreprises par statut juridique","ND","Nombre","2016","5912"
"Répartition des entreprises par statut juridique","Total","Nombre","2016","16848"
